state,year,EV Registrations,Total Vehicles,EV Share (%),Stations,Total Charging Outlets,Population_20_64,Education_Bachelor,Unemployment_Rate,Bachelor_Attainment,Per_Cap_Income,localofficials,reducetax,regulate,price_cents_per_kwh,gasoline_price_per_gallon,Total,Trucks,Trucks_Share,Party
Missouri,2017,2100,5740700,0.04,377,1558,3547653,974591,4.2,27.47,29438,,,,10.03,,,,,
Montana,2017,300,980200,0.03,33,84,604339,174067,3.5,28.8,29428,,,,8.92,,,,,
Nebraska,2017,500,1850200,0.03,64,163,1097542,324180,2.8,29.54,30915,,,,9.08,,,,,
Nevada,2017,3100,2289500,0.14,229,604,1789837,394329,5.4,22.03,30166,,,,8.76,,,,,
New Hampshire,2017,600,1325000,0.05,100,189,810674,277591,3.4,34.24,38237,,,,16.17,,,,,
New Jersey,2017,6900,6911300,0.1,265,553,5385126,2044040,5,37.96,40567,,,,13.32,,,,,
New Mexico,2017,700,1814100,0.04,61,165,1185649,270040,6.3,22.78,25311,,,,9.59,,,,,
New York,2017,9400,11457800,0.08,954,1952,12012187,4079238,5.2,33.96,37156,,,,14.74,,,,,
North Carolina,2017,4400,8366300,0.05,595,1352,6052177,1766592,4.8,29.19,29560,,,,9.04,,,,,
North Dakota,2017,100,775100,0.01,10,15,446948,128261,2.7,28.7,34041,,,,8.78,,,,,
Ohio,2017,3700,10176000,0.04,378,743,6799707,1794308,4.7,26.39,30038,,,,9.84,,,,,
Oklahoma,2017,1200,4151800,0.03,60,137,2254777,517298,4.9,22.94,26472,,,,8.2,,,,,
Oregon,2017,10000,3765500,0.27,564,1345,2455573,756835,4.7,30.82,31950,,,,8.81,,,,,
Pennsylvania,2017,4400,10017000,0.04,388,770,7511505,2269407,4.8,30.21,32711,,,,10.13,,,,,
Rhode Island,2017,400,861200,0.05,85,213,638848,196397,5.3,30.74,34511,,,,16.42,,,,,
South Carolina,2017,1200,4527900,0.03,243,480,2907477,728200,5.4,25.05,27909,,,,9.97,,,,,
South Dakota,2017,100,901400,0.01,26,47,491234,125689,3.2,25.59,29611,,,,10.05,,,,,
Tennessee,2017,2900,5612600,0.05,450,1036,3954680,1008932,4.5,25.51,28764,,,,9.45,,,,,
Texas,2017,16100,22544400,0.07,1073,2654,16669222,4435730,4.7,26.61,29525,,,,8.38,,,,,
Utah,2017,3600,2578700,0.14,145,379,1748381,525079,3.1,30.03,28085,,,,8.6,,,,,
Vermont,2017,700,616100,0.11,173,426,369584,124585,3.5,33.71,32443,,,,14.6,,,,,
Virginia,2017,5100,7639400,0.07,474,1094,5097100,1825685,4.2,35.82,37442,,,,9.18,,,,,
Washington,2017,21000,6545500,0.32,810,2136,4465104,1447120,4.5,32.41,36975,,,,7.94,,,,,
West Virginia,2017,100,1529200,0.01,69,199,1040313,198681,6.3,19.1,24478,,,,9,,,,,
Wisconsin,2017,2800,5474500,0.05,283,489,3403962,964941,3.2,28.35,31998,,,,10.76,,,,,
Wyoming,2017,100,618900,0.02,37,91,333635,82367,4.4,24.69,30883,,,,8.28,,,,,
Alabama,2016,500,4436600,0.01,113,227,2842483,648666,5.8,22.82,25810,,,,9.56,,,,,
Alaska,2016,200,656100,0.03,3,5,460009,117853,7.5,25.62,34187,,,,17.93,,,,,
Arizona,2016,4700,5640900,0.08,424,988,3934467,996375,5.9,25.32,27997,,,,10.33,,,,,
Arkansas,2016,200,2569700,0.01,63,89,1700227,352522,4.7,20.73,24264,,,,8.13,,,,,
California,2016,141500,30696700,0.46,4184,13655,23762922,7028218,6.1,29.58,33389,,,,15.23,,,,,
Colorado,2016,5300,4951700,0.11,445,978,3392861,1216081,4.3,35.84,34542,,,,9.83,,,,,
Connecticut,2016,2000,2992800,0.07,341,725,2140570,772450,5.8,36.09,41087,,,,17.24,,,,,
Delaware,2016,300,855900,0.04,30,67,555325,158440,5.5,28.53,31712,,,,11.09,,,,,
District Of Columbia,2016,600,313100,0.19,102,241,459352,239767,6.5,52.2,50567,,,,11.73,,,,,
Florida,2016,11600,15831800,0.07,965,2091,11879763,3080708,5.6,25.93,28621,,,,9.91,,,,,
Georgia,2016,18000,8545200,0.21,591,1493,6137352,1728176,5.5,28.16,28183,,,,9.59,,,,,
Hawaii,2016,4200,1051600,0.4,249,566,846435,244634,4.2,28.9,32634,,,,23.87,,,,,
Idaho,2016,400,1670700,0.02,60,133,943140,233857,4.1,24.8,25678,,,,8.08,,,,,
Illinois,2016,5800,10189400,0.06,524,1109,7666463,2467068,5.8,32.18,32849,,,,9.38,,,,,
Indiana,2016,1300,5741900,0.02,196,388,3873540,928161,4.6,23.96,27464,,,,9.22,,,,,
Iowa,2016,400,3016100,0.01,109,216,1796196,481756,3.6,26.82,30047,,,,8.55,,,,,
Kansas,2016,600,2520000,0.02,197,725,1667107,503123,4.1,30.18,28950,,,,10.49,,,,,
Kentucky,2016,500,3831900,0.01,82,167,2606540,574045,5.4,22.02,26046,,,,8.42,,,,,
Louisiana,2016,400,3736500,0.01,79,155,2761630,585164,6.5,21.19,25664,,,,7.46,,,,,
Maine,2016,300,1181200,0.03,111,181,784982,218902,3.9,27.89,29604,,,,12.8,,,,,
Maryland,2016,3200,4616800,0.07,499,1129,3640549,1323174,5,36.35,38662,,,,12.21,,,,,
Massachusetts,2016,3600,5167800,0.07,507,1243,4148915,1654375,4.8,39.87,39771,,,,16.48,,,,,
Michigan,2016,1600,8458700,0.02,534,1122,5856779,1524795,5.7,26.03,29128,,,,11.05,,,,,
Minnesota,2016,1600,4794500,0.03,286,687,3260003,1068535,3.5,32.78,34515,,,,9.99,,,,,
Mississippi,2016,100,2502500,0,41,64,1718710,335001,7.2,19.49,22694,,,,8.67,,,,,
Missouri,2016,1400,5541500,0.03,295,1155,3550493,950902,4.6,26.78,28406,,,,9.74,,,,,
Montana,2016,200,988100,0.02,36,76,602662,167259,4.4,27.75,28933,,,,8.84,,,,,
Nebraska,2016,300,1820600,0.02,58,116,1093727,319828,3.2,29.24,29910,,,,9.05,,,,,
Nevada,2016,2000,2222600,0.09,173,474,1754514,359218,6.3,20.47,28117,,,,8.39,,,,,
New Hampshire,2016,400,1307100,0.03,98,181,809289,271022,3.3,33.49,36320,,,,15.66,,,,,
New Jersey,2016,4200,6729800,0.06,244,494,5369537,1973344,5.7,36.75,38911,,,,13.38,,,,,
New Mexico,2016,500,1673500,0.03,58,135,1190175,275072,7.1,23.11,25146,,,,9.12,,,,,
New York,2016,6100,11407600,0.05,862,1677,12009089,4017816,5.6,33.46,35534,,,,14.47,,,,,
North Carolina,2016,2900,8206300,0.04,453,1015,5993280,1703741,5.7,28.43,28156,,,,9.2,,,,,
North Dakota,2016,0,765500,0,7,9,449834,122797,2.4,27.3,33339,,,,8.94,,,,,
Ohio,2016,2600,10088800,0.03,278,499,6814436,1775101,5.2,26.05,29164,,,,9.84,,,,,
Oklahoma,2016,600,4168300,0.01,54,103,2263233,516410,5.7,22.82,25880,,,,7.83,,,,,
Oregon,2016,7700,3678500,0.21,542,1249,2434595,726561,5.2,29.84,30822,,,,8.83,,,,,
Pennsylvania,2016,3200,9984200,0.03,352,654,7531034,2242218,5.3,29.77,31272,,,,10.19,,,,,
